titre_du_poste,compagnie,date_publication,ville,domaine,specialité,diplome_requis,annee_experience,type_contrat,competences,source_url
Conseiller/ère principal/e en gouvernance et redevabilité,Group Croissance S.A.,3 Sept 2024,Port-au-Prince,Santé et Professions médicales,Santé Publique,Master,5.0,CDD,"['Capacité prouvée de rédaction', 'Excellentes compétences conceptuelles', 'Excellentes compétences d’analyse', 'Excellentes compétences de recherche', 'Excellentes compétences de communication écrite et verbale']",https://jobpaw.com/professionals/job-details?idj=16568
Expert.e national.e spécialiste en ingénierie de formation Projet Avni Nou – Éducation en Haïti (H/F,Expertise France,3 Sept 2024,Petion-Ville,Sciences de l’Education,Enseignement supérieur,Master,10.0,CDD,"['Très bonne connaissance du système éducatif haïtien', 'Très bonne connaissance des enjeux de renforcement des compétences des enseignant.e.s et des cadres pédagogiques', 'Très bonnes compétences d’ingénierie pédagogique relativement au développement des compétences professionnelles', 'Maîtrise des outils pédagogiques et technologiques adaptés', 'Excellentes capacités d’analyse et de synthèse']",https://jobpaw.com/professionals/job-details?idj=16569
Kowòdonatè pwojè ProPiPed,Fondasyon Kole Zepol,3 Sept 2024,Jeremie,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion de Projets,Master,8.0,CDI,"['Bon kominikasyon ekri ak pale an Franse', 'Kapasite lideship', 'Motive ak anime yon ekip', 'Kapasite fonksyone yon fason ki otonòm', 'Kapasite pou rezoud pwoblèm']",https://jobpaw.com/professionals/job-details?idj=16570
Spécialiste en Gestion Financière,Fondasyon Kole Zepol,3 Sept 2024,Jeremie,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,5.0,CDI,"['Capacités analytiques', 'Compétences administratives', 'Compétences informatiques', 'Capacité à travailler en équipe', 'Capacité à travailler sous pression']",https://jobpaw.com/professionals/job-details?idj=16571
Architecte-Consultant,Save the Children en Haiti,4 Sept 2024,Port-au-Prince,Métiers du bâtiment et autres,Construction Bâtiment,Non précisé,,,,https://jobpaw.com/professionals/job-details?idj=16573
Office Manager,DAI/ USAID- EAU,18 Sept 2024,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Commerce,Licence,9.0,CDI,"['excellentes compétences en communication verbale et écrite', 'maîtrise du français', ""maîtrise de l'anglais"", None, None]",https://jobpaw.com/professionals/job-details?idj=16574
Cuisinier/ ière,International Rescue Committee,4 Sept 2024,Petion-Ville,"Tourisme, Hôtellerie et Restauration",Cuisine,Non précisé,,CDD,"['Expérience en tant que cuisinier/ière dans le milieu des ONGs', ""Capacité à travailler en harmonie avec d'autres membres du personnel"", 'Compétences en matière de communication en français', 'Compétences en matière de communication en créole haïtien', None]",https://jobpaw.com/professionals/job-details?idj=16575
Officier WASH et de Résilience,ong,4 Sept 2024,Port-au-Prince,Sciences de l’Ingénieur,Eau & Assainissement,Licence,,CDD,"['Bonnes capacités pour la rédaction de documents et de rapports', 'Bonne capacité de transmettre de connaissance', 'Faire preuve de dynamisme, leadership, rigueur, responsabilité et sérieux', 'Bonne relation interpersonnelle, d’esprit d’équipe, de facilitation, d’initiative et de créativité', 'Disponibilité à travailler en semaine et/ou en week-end']",https://jobpaw.com/professionals/job-details?idj=16576
Supply Chain Officer,Chemonics / GHSC-PSM,4 Sept 2024,Port-au-Prince,Santé et Professions médicales,Pharmacie,Licence,3.0,CDI,"['Analyse de données', 'Gestion des stocks', 'Service client', 'Compétences informatiques', 'Travail en équipe']",https://jobpaw.com/professionals/job-details?idj=16577
Database Assistant,Haitian Education and Leadership Program,5 Sept 2024,Port-au-Prince,Sciences Informatiques,Base de données,Licence,,CDI,"['Démonstration de capacités informatiques et de bases de données', ""Niveau élevé d'organisation"", 'Expérience dans la saisie de données et la construction de rapports', 'Bonne communication verbale et écrite', 'Capacité à travailler de manière autonome et en collaboration']",https://jobpaw.com/professionals/job-details?idj=16578
Consultant pour l'élaboration du manuel de normes et procédures de la surveillance épidémiologique e,Direction dEpidemiologie des Laboratoires et de la Recherche,5 Sept 2024,Port-au-Prince,Santé et Professions médicales,Management et Gestion des services de santé,Master,10.0,,"['Excellentes compétences en recherche', 'Analyse', 'Rédaction', 'Maîtrise du français', ""Maîtrise de l'anglais""]",https://jobpaw.com/professionals/job-details?idj=16579
"Responsable de l'accès humanitaire, de la sûreté et de la sécurité",International Rescue Committee,6 Sept 2024,Port-au-Prince,Sécurité,Sécurité,Non précisé,,CDD,"[""Excellentes compétences en matière d'établissement de relations"", 'Compétences en négociation et médiation', 'Excellentes aptitudes à la communication orale', 'Capacité à représenter efficacement IRC', 'Expérience de travail avec les parties prenantes locales']",https://jobpaw.com/professionals/job-details?idj=16580
Agent de Terrain Gestion Inclusive des Risques de Désastres (GIRD),Concern Worldwide Haiti,6 Sept 2024,Port-au-Prince,Sciences Humaines et Sociales,Sciences Sociales,Licence,2.0,CDD,"['Bonne communication', 'Bonne écoute', 'Maîtrise de Microsoft Office', 'Connaissance du cycle de gestion de projet', 'Qualités en communication']",https://jobpaw.com/professionals/job-details?idj=16581
Technicien (ne) WASH,Concern Worldwide Haiti,6 Sept 2024,Port-au-Prince,Sciences Humaines et Sociales,Sciences du Développement,Master,2.0,CDD,"['Communication efficace', 'Capacité de résolution de problèmes', 'Bonne capacité organisationnel', 'Motivé, progressiste et proactive', 'Sens de l’efficacité et des résultats']",https://jobpaw.com/professionals/job-details?idj=16582
Officier (ère) Gestion Base de Données,Concern Worldwide Haiti,6 Sept 2024,Port-au-Prince,Sciences économiques et politiques,Economie,Master,3.0,CDD,"['Excellente capacité de traitement, d’analyse et d’interprétation des données', 'Orientation vers les résultats', 'Bonne capacité d’analyse', 'Capacités à travailler sous pression', 'Grande capacité d’organisation du travail']",https://jobpaw.com/professionals/job-details?idj=16583
Assistant Achats,Land O Lakes,9 Sept 2024,Cap-Haitien,"Management/Gestion, Finance, Comptabilité et Commerce",Passation de Marchés / Procurement,Licence,1.0,CDI,"['Solides compétences en gestion de bases de données et en informatique', 'Bonne gestion du temps', 'Souci du détail', 'Solides compétences interpersonnelles', 'Bonnes aptitudes à la communication']",https://jobpaw.com/professionals/job-details?idj=16584
Commodity Procurement Specialist,Chemonics / GHSC-PSM,2 Oct 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Passation de Marchés / Procurement,Licence,3.0,CDI,"['Strong organizational skills', 'Self-driven with a high sense of quality', 'Ability to meet tight deadlines', 'Experience in international logistics', 'Fluent in French, Haitian Creole']",https://jobpaw.com/professionals/job-details?idj=16585
Caissière,Paryaj Pam,12 Sept 2024,,"Management/Gestion, Finance, Comptabilité et Commerce",Commerce,Non précisé,0.0,CDI,"['Intégrité', 'Honnêteté', 'Sens de responsabilité', 'Bonne communication orale et écrite', 'Flexibilité']",https://jobpaw.com/professionals/job-details?idj=16586
"Head of Security, Facilities and Loss Prevention",DHL International S.A.,10 Sept 2024,Port-au-Prince,Sécurité,Sécurité,Licence,10.0,CDI,"['Educated to degree level and/or holding a professional qualification in Criminal Justice and Law Enforcement.', '10 to 15 years of management experience in criminal investigations in a multinational transport/cargo/logistics environment.', 'Experience with local European laws, police agencies, and investigation agencies.', 'Numeracy with managerial, analytical, and presentation skills.', 'Well-developed interpersonal skills.']",https://jobpaw.com/professionals/job-details?idj=16587
Analyste/Comptable Junior,Safitek S.A.,10 Sept 2024,Zone Centre de Pétion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion Financière,Non précisé,2.0,CDI,"['Qualités d’analyse et de synthèse très développées', 'Posséder de solides connaissances comptables et financières', 'Bonne maîtrise des normes comptables et fiscales nationales', 'Compréhension approfondie des jeux de loterie et de paris sera un atout', 'Sens élevé de l’organisation et de la gestion des priorités']",https://jobpaw.com/professionals/job-details?idj=16588
Analyste/Comptable Junior,Safitek S.A.,10 Sept 2024,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion Financière,Non précisé,2.0,CDI,"['Qualités d’analyse et de synthèse très développées', 'Posséder de solides connaissances comptables et financières', 'Bonne maîtrise des normes comptables et fiscales nationales', 'Compréhension approfondie des jeux de loterie et de paris sera un atout', 'Sens élevé de l’organisation et de la gestion des priorités']",https://jobpaw.com/professionals/job-details?idj=16589
HIV/AIDS & Infectious Disease Technical Lead,Health Equity International/St. Boniface Hospital,19 Sept 2024,Cayes,Santé et Professions médicales,Management et Gestion des services de santé,Licence,5.0,CDD,"['Fluency in French, with strong oral communication and writing skills required.', 'Operational experience, donor-funded activities involving coordination with multiple program partners and institutions.', 'Ability to write clearly, concisely, and descriptively a 10-15page narrative report, using tables and graphs.', 'Ability to provide leadership and stability to field staff for program continuity.', 'Ability to exercise sound judgment and initiative.']",https://jobpaw.com/professionals/job-details?idj=16591
Child Health and Nutrition Technical Lead,Health Equity International/St. Boniface Hospital,20 Sept 2024,Les Cayes - Haiti,Santé et Professions médicales,Management et Gestion des services de santé,Non précisé,5.0,CDD,"['Community health education', 'Public health', 'Maternal and child health', 'Nutrition', 'Ability to provide leadership']",https://jobpaw.com/professionals/job-details?idj=16592
Coordonnateur/rice Sante Maternelle,Health Equity International/St. Boniface Hospital,11 Sept 2024,Cayes,Santé et Professions médicales,Management et Gestion des services de santé,Non précisé,5.0,CDD,"['Médecin généraliste ou Infirmière licenciée avec une formation en santé publique ou en santé communautaire', 'Expérience pertinente dans la mise en œuvre des projets en support aux établissements publiques et privés', 'Expérience de 5 ans ou plus dans la mise en œuvre et le suivi de programmes', 'Forte Capacité de gestion de relation interpersonnelle', 'Compétences de communication orales et écrites en français et en créole']",https://jobpaw.com/professionals/job-details?idj=16593
Coordonnateur de Sécurité,Croix Rouge Haitienne,11 Sept 2024,Port-au-Prince,Sécurité,Informateur,Licence,3.0,CDD,"['Expérience significative dans la gestion de la sécurité', 'Compétences en informatique, notamment Microsoft Word, Excel, PowerPoint et Outlook', 'Compréhension approfondie de la supervision des processus/systèmes de gestion et de la conformité en matière de sécurité d’un bureau', 'Haut niveau de Compétences administratives et organisationnelles et du souci du détail', 'Solides compétences en leadership, en gestion de supervisés et en relations humaines']",https://jobpaw.com/professionals/job-details?idj=16594
Assistant(e) de Coordination de Projet,WeltHungerHilfe (Agro Action Allemande),11 Sept 2024,Thiotte,Agriculture – Agroalimentaire,Agronomie,Licence,5.0,CDD,"['Capacités rédactionnelles', 'Maitrise des outils informatiques', 'Connaissance des logiciels de suivi', 'Aptitude de communication', 'Capacité à travailler sous pression']",https://jobpaw.com/professionals/job-details?idj=16595
Chargée des activités de Prevention VSBG,Médecins du Monde Canada,12 Sept 2024,Port-de-Paix,Sciences Humaines et Sociales,Service Social,Non précisé,3.0,CDD,"['Formation et accompagnement', 'Capacités d’anticipation et de résolution de problèmes', 'Excellente capacité orale et écrite en français', 'Capacités à s’exprimer en créole', 'Aptitudes à la représentation']",https://jobpaw.com/professionals/job-details?idj=16596
